point_id,Lon,Lat,daima,MOD17_sample_Lon,MOD17_sample_Lat
031,94.01992342415943,33.0512650909675,497,94.01954917331051,33.052771788574766
032,94.76552510997863,33.10516400801467,497,94.76972698129482,33.106731024110346
033,94.01543184773882,33.172537654323634,497,94.015273626024,33.174180068529836
034,94.30289273865708,33.68906894269236,497,94.30692193246246,33.69128940907921
035,93.85822667301791,33.316268099782754,497,93.85807557679958,33.318071363291395
036,94.66671042872548,33.01982405602331,497,94.66705083221103,33.02129556784567
037,94.30289273865708,32.91651779834957,497,94.30451410913896,32.91787369973579
038,95.02603654237329,32.84465257562,497,95.02547706016148,32.84592805235501
039,94.68467673440787,33.28931864125917,497,94.68436846315547,33.2910917455236
040,94.12322968183317,33.57677953217742,497,94.12453424018645,33.578874335046734
041,94.63976097020189,33.12313031369706,497,94.63879735834074,33.124717435955546
042,94.53645471252815,33.702543671954146,497,94.53793685306945,33.7047792179631
043,94.94069659038193,32.91651779834957,497,94.94194994403739,32.91787369973579
044,94.65323569946368,33.24889445347379,497,94.656627457422,33.25062231887191
045,94.53645471252815,33.54983007365383,497,94.5375681720653,33.55189471727894
046,94.54094628894875,33.07821454949108,497,94.54208967239799,33.07975140634256
047,94.91823870827895,32.898551492667174,497,94.91730851766461,32.8998872878906
048,93.72347938039998,33.54983007365383,497,93.72823037367698,33.55189471727894
049,94.13670441109497,33.563304802915624,497,94.13680944314764,33.56538452616284
050,94.50950525400457,33.4195743574565,497,94.51385910622766,33.42149323140127
051,94.60831993525771,32.93897568045256,497,94.61245581952443,32.94035671454229
052,94.30289273865708,33.34321755830634,497,94.30699959888776,33.34505098105919
053,95.87494448586624,32.68295582447849,497,95.8786118790495,32.684050345748254
054,94.92722186112015,32.84016099919941,497,94.92967924418583,32.84143144939372
055,94.10077179973018,33.45550696882128,497,94.10031848740206,33.457466055091665
056,95.04400284805568,33.114147160855865,497,95.04786047685923,33.115724230032946
057,95.02154496595269,33.001857750340925,497,95.0230695606232,33.003309156000476
058,95.1697669878324,32.87160203414359,497,95.17216941356608,32.87290767012281
059,94.94069659038193,32.831177846358216,497,94.94146934224074,32.83243824347112
060,94.65772727588428,33.56779637933622,497,94.6597961467482,33.56988112912414
061,94.48704737190157,33.482456427344864,497,94.49084153283951,33.48444567285946
062,94.98112077816731,33.253386029894386,497,94.98412975794685,33.25511892183321
063,94.27145170371288,33.477964850924266,497,94.27568373077297,33.47994906989816
064,94.53645471252815,33.370167016829924,497,94.54084673198749,33.37203059882698
065,93.64263100482923,33.17702923074423,497,93.64402333871287,33.17867667149113
066,95.86596133302504,32.84465257562,497,95.8657814156618,32.84592805235501
067,95.22366590487958,32.99736617392033,497,95.22732553024768,32.99881255303917
068,95.22815748130017,33.02431563244391,497,95.22964796456397,33.02579217080697
069,95.58748359494798,32.664989518796105,497,95.58689511773261,32.666063933903054
070,94.86433979123177,32.898551492667174,497,94.86375336218643,32.8998872878906
071,94.15467071677735,33.18152080716483,497,94.1538692101157,33.18317327445243
072,95.16527541141181,33.087197702332276,497,95.16896181003946,33.08874461226515
073,94.55442101821053,33.73398470689833,497,94.55143012551552,33.73175883573089
074,95.10688491794404,32.90753464550837,497,95.10905480254702,32.9088804938132
075,94.32535062076006,33.172537654323634,497,94.32686209590776,33.174180068529836
076,95.3853626560211,32.79973681141403,497,95.38929997418282,32.80096202274202
077,94.51399683042516,33.20847026568841,497,94.51609647394632,33.21015289222022
078,94.55891259463114,33.66661106058937,497,94.56321486024821,33.668806394272714
079,93.57525735852026,33.37465859325052,497,93.57649193059412,33.37652720178828
080,95.0170533895321,32.831177846358216,497,95.01638955509993,32.83243824347112
081,94.41967372559262,33.64415317848638,497,94.419677655867,33.64632337946622
082,94.91374713185834,32.98838302107913,497,94.91740736512881,32.98981934711658
083,94.41518214917201,33.729493130477735,497,94.41131127966169,33.7272622327696
084,94.32984219718065,33.675594213430564,497,94.32994798202957,33.67779960019531
085,95.99172547280178,32.88507676340539,497,95.99521499912179,32.8863974790067
086,93.81780248523253,33.43754066313889,497,93.82215444057591,33.439479643246464
087,94.38374111422783,33.63517002564519,497,94.38821231393543,33.63733017354362
088,94.84188190912879,33.235419724212,497,94.84631160943323,33.23713250998802
